epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,3066.75,1.31256,0.99576,1.38481,0.7899,0.73647,0.79605,0.47082,1.51598,1.00275,1.55319,0.005743,0.005743,0.005743
45,3135.97,1.30373,0.97536,1.37272,0.80423,0.7297,0.80002,0.47281,1.51421,0.99008,1.54461,0.005644,0.005644,0.005644
46,3204.66,1.2974,0.9678,1.37485,0.81496,0.72932,0.79829,0.47306,1.50381,0.98974,1.53799,0.005545,0.005545,0.005545
47,3273.46,1.28612,0.95941,1.35952,0.81326,0.73101,0.81167,0.48524,1.48938,0.96028,1.52651,0.005446,0.005446,0.005446
48,3341.76,1.27978,0.96014,1.35942,0.82152,0.74291,0.81203,0.48453,1.49694,0.96502,1.53769,0.005347,0.005347,0.005347
49,3410.3,1.26895,0.94786,1.35266,0.824,0.74807,0.81454,0.49056,1.48925,0.94494,1.52648,0.005248,0.005248,0.005248
50,3478.7,1.25757,0.92255,1.34422,0.83465,0.7442,0.81988,0.49536,1.48194,0.94182,1.52768,0.005149,0.005149,0.005149
51,3547.34,1.24916,0.93427,1.34353,0.80372,0.75322,0.81434,0.49122,1.47727,0.93897,1.51636,0.00505,0.00505,0.00505
52,3615.57,1.25314,0.92343,1.33763,0.8246,0.74903,0.82167,0.50309,1.46098,0.92729,1.51291,0.004951,0.004951,0.004951
53,3683.84,1.24292,0.90944,1.33531,0.82686,0.75677,0.82573,0.50402,1.45912,0.92441,1.50813,0.004852,0.004852,0.004852
54,3752.17,1.24119,0.89961,1.3344,0.83046,0.75322,0.82147,0.50374,1.45199,0.93626,1.5073,0.004753,0.004753,0.004753
55,3820.3,1.24217,0.89915,1.33046,0.85016,0.73615,0.82459,0.5061,1.44489,0.91046,1.49267,0.004654,0.004654,0.004654
56,3888.57,1.23499,0.89518,1.31983,0.84575,0.74066,0.82612,0.51185,1.42977,0.92379,1.47528,0.004555,0.004555,0.004555
57,3956.72,1.2278,0.89825,1.32392,0.83204,0.75515,0.82388,0.51471,1.43072,0.90948,1.48805,0.004456,0.004456,0.004456
58,4024.74,1.21198,0.86062,1.30563,0.8491,0.73239,0.82328,0.5176,1.41906,0.90757,1.48006,0.004357,0.004357,0.004357
59,4092.69,1.20703,0.87432,1.31003,0.83369,0.76552,0.83165,0.52362,1.41045,0.89388,1.47623,0.004258,0.004258,0.004258
