lat,lon,pothole_count_sum,pothole_count_max
26.39617399526584,-98.84894754002791,0,0
27.39588476918599,-97.84894471137518,0,0
29.39617338692809,-110.848893261322,0,0
29.39658143036842,-95.84866037074592,0,0
30.39648389852986,-97.848861117945,0,0
31.39554457064003,-96.84963590004352,0,0
31.39614367533069,-82.848999946466,0,0
31.39658563758556,-97.84905030321688,0,0
32.39606551328071,-96.84904913221986,0,0
32.39617328062588,-106.8493242853272,0,0
32.39622699998052,-93.84950423638391,0,0
32.39636010220394,-112.8490085637725,0,0
32.39648751004947,-89.84891023590795,0,0
33.39608221629047,-86.84877977527279,0,0
33.39619682349468,-81.84887866410939,0,0
33.39633095462065,-111.8485985556097,0,0
34.39659786970262,-80.84885536611067,0,0
35.39619919239477,-78.84904087985126,0,0
35.39631135179352,-97.84851263318447,0,0
35.3963137106427,-81.84941225678443,0,0
35.39655148920194,-89.84939537306072,0,0
35.39656415863167,-87.84875103168554,0,0
36.39576385745424,-81.84867167811855,0,0
36.39613946185552,-97.8491661057707,0,0
36.39625818707915,-79.84830308065882,0,0
36.39642554761895,-83.84924203193077,0,0
37.39605374045782,-121.8491991190031,0,0
37.39623224257723,-111.8484931182295,0,0
38.39631177683076,-88.84894961061094,0,0
38.3964307850259,-81.84887691352554,0,0
38.39649564431038,-84.84924290229294,0,0
38.3965980044809,-78.8485621632641,0,0
38.39739061399973,-122.848875174973,0,0
39.39631648032292,-95.84915031894128,0,0
39.39634048966875,-83.84889600023219,0,0
40.39605320665314,-80.84900384468855,0,0
40.3962605012894,-111.8495152875949,0,0
40.396277573135,-86.84884837910569,0,0
40.39651328556563,-75.84918890525688,0,0
40.39671033559461,-79.84889932240694,0,0
41.39604069053178,-72.84862714062122,0,0
41.39628434777113,-83.84953604003285,0,0
42.39626795130817,-87.84909322448893,0,0
42.3962791350825,-84.84922556115814,0,0
42.39636066824022,-107.8486942326468,0,0
42.39636433595565,-90.84931037116013,0,0
43.39637503203335,-102.8485001321772,0,0
43.39650778490764,-94.84934198884278,0,0
43.40004524924745,-83.84859106678105,0,0
44.39595090179061,-77.84916534869122,0,0
44.39623164566867,-90.84922771509805,0,0
44.39632933240964,-80.84582188344726,0,0
44.39656297703588,-89.8488838074723,0,0
45.39614719650442,-75.84892266876503,0,0
45.39632940377441,-121.8492624632492,0,0
45.39642235259686,-91.84802471026504,0,0
45.39642606099434,-93.84869841171145,0,0
46.39643102575783,-105.8488446007863,0,0
47.3959219646304,-122.8489893145059,0,0
47.39630841553046,-92.84901119546097,0,0
48.39632584226475,-102.8489220642161,0,0
