lat,lon,heading,filename,status,source
25.396308,-98.848974,180,,ZERO_RESULTS,metadata
25.396308,-98.848974,270,,ZERO_RESULTS,metadata
25.396308,-97.848974,0,,ZERO_RESULTS,metadata
25.396308,-97.848974,90,,ZERO_RESULTS,metadata
25.396308,-97.848974,180,,ZERO_RESULTS,metadata
25.396308,-97.848974,270,,ZERO_RESULTS,metadata
25.396308,-96.848974,0,,ZERO_RESULTS,metadata
25.396308,-96.848974,90,,ZERO_RESULTS,metadata
25.396308,-96.848974,180,,ZERO_RESULTS,metadata
25.396308,-96.848974,270,,ZERO_RESULTS,metadata
25.396308,-95.848974,0,,ZERO_RESULTS,metadata
25.396308,-95.848974,90,,ZERO_RESULTS,metadata
25.396308,-95.848974,180,,ZERO_RESULTS,metadata
25.396308,-95.848974,270,,ZERO_RESULTS,metadata
25.396308,-94.848974,0,,ZERO_RESULTS,metadata
25.396308,-94.848974,90,,ZERO_RESULTS,metadata
25.396308,-94.848974,180,,ZERO_RESULTS,metadata
25.396308,-94.848974,270,,ZERO_RESULTS,metadata
25.396308,-93.848974,0,,ZERO_RESULTS,metadata
25.396308,-93.848974,90,,ZERO_RESULTS,metadata
25.396308,-93.848974,180,,ZERO_RESULTS,metadata
25.396308,-93.848974,270,,ZERO_RESULTS,metadata
25.396308,-92.848974,0,,ZERO_RESULTS,metadata
25.396308,-92.848974,90,,ZERO_RESULTS,metadata
25.396308,-92.848974,180,,ZERO_RESULTS,metadata
25.396308,-92.848974,270,,ZERO_RESULTS,metadata
25.396308,-91.848974,0,,ZERO_RESULTS,metadata
25.396308,-91.848974,90,,ZERO_RESULTS,metadata
25.396308,-91.848974,180,,ZERO_RESULTS,metadata
25.396308,-91.848974,270,,ZERO_RESULTS,metadata
25.396308,-90.848974,0,,ZERO_RESULTS,metadata
25.396308,-90.848974,90,,ZERO_RESULTS,metadata
25.396308,-90.848974,180,,ZERO_RESULTS,metadata
25.396308,-90.848974,270,,ZERO_RESULTS,metadata
25.396308,-89.848974,0,,ZERO_RESULTS,metadata
25.396308,-89.848974,90,,ZERO_RESULTS,metadata
25.396308,-89.848974,180,,ZERO_RESULTS,metadata
25.396308,-89.848974,270,,ZERO_RESULTS,metadata
25.396308,-88.848974,0,,ZERO_RESULTS,metadata
25.396308,-88.848974,90,,ZERO_RESULTS,metadata
25.396308,-88.848974,180,,ZERO_RESULTS,metadata
25.396308,-88.848974,270,,ZERO_RESULTS,metadata
25.396308,-87.848974,0,,ZERO_RESULTS,metadata
25.396308,-87.848974,90,,ZERO_RESULTS,metadata
25.396308,-87.848974,180,,ZERO_RESULTS,metadata
25.396308,-87.848974,270,,ZERO_RESULTS,metadata
25.396308,-86.848974,0,,ZERO_RESULTS,metadata
25.396308,-86.848974,90,,ZERO_RESULTS,metadata
25.396308,-86.848974,180,,ZERO_RESULTS,metadata
25.396308,-86.848974,270,,ZERO_RESULTS,metadata
25.396308,-85.848974,0,,ZERO_RESULTS,metadata
25.396308,-85.848974,90,,ZERO_RESULTS,metadata
25.396308,-85.848974,180,,ZERO_RESULTS,metadata
25.396308,-85.848974,270,,ZERO_RESULTS,metadata
25.396308,-84.848974,0,,ZERO_RESULTS,metadata
25.396308,-84.848974,90,,ZERO_RESULTS,metadata
25.396308,-84.848974,180,,ZERO_RESULTS,metadata
25.396308,-84.848974,270,,ZERO_RESULTS,metadata
25.396308,-83.848974,0,,ZERO_RESULTS,metadata
25.396308,-83.848974,90,,ZERO_RESULTS,metadata
25.396308,-83.848974,180,,ZERO_RESULTS,metadata
