filename,lat,lon,hdg,pothole_count
lat_26.39617399526584_lon_-98.84894754002791_hdg_0_pano.jpg,26.39617399526584,-98.84894754002791,0,0
lat_26.39617399526584_lon_-98.84894754002791_hdg_180_pano.jpg,26.39617399526584,-98.84894754002791,180,0
lat_26.39617399526584_lon_-98.84894754002791_hdg_270_pano.jpg,26.39617399526584,-98.84894754002791,270,0
lat_26.39617399526584_lon_-98.84894754002791_hdg_90_pano.jpg,26.39617399526584,-98.84894754002791,90,0
lat_27.39588476918599_lon_-97.84894471137518_hdg_0_pano.jpg,27.39588476918599,-97.84894471137518,0,0
lat_27.39588476918599_lon_-97.84894471137518_hdg_180_pano.jpg,27.39588476918599,-97.84894471137518,180,0
lat_27.39588476918599_lon_-97.84894471137518_hdg_270_pano.jpg,27.39588476918599,-97.84894471137518,270,0
lat_27.39588476918599_lon_-97.84894471137518_hdg_90_pano.jpg,27.39588476918599,-97.84894471137518,90,0
lat_29.39617338692809_lon_-110.848893261322_hdg_0_pano.jpg,29.39617338692809,-110.848893261322,0,0
lat_29.39617338692809_lon_-110.848893261322_hdg_180_pano.jpg,29.39617338692809,-110.848893261322,180,0
lat_29.39617338692809_lon_-110.848893261322_hdg_270_pano.jpg,29.39617338692809,-110.848893261322,270,0
lat_29.39617338692809_lon_-110.848893261322_hdg_90_pano.jpg,29.39617338692809,-110.848893261322,90,0
lat_29.39658143036842_lon_-95.84866037074592_hdg_0_pano.jpg,29.39658143036842,-95.84866037074592,0,0
lat_29.39658143036842_lon_-95.84866037074592_hdg_180_pano.jpg,29.39658143036842,-95.84866037074592,180,0
lat_29.39658143036842_lon_-95.84866037074592_hdg_270_pano.jpg,29.39658143036842,-95.84866037074592,270,0
lat_29.39658143036842_lon_-95.84866037074592_hdg_90_pano.jpg,29.39658143036842,-95.84866037074592,90,0
lat_30.39648389852986_lon_-97.848861117945_hdg_0_pano.jpg,30.39648389852986,-97.848861117945,0,0
lat_30.39648389852986_lon_-97.848861117945_hdg_180_pano.jpg,30.39648389852986,-97.848861117945,180,0
lat_30.39648389852986_lon_-97.848861117945_hdg_270_pano.jpg,30.39648389852986,-97.848861117945,270,0
lat_30.39648389852986_lon_-97.848861117945_hdg_90_pano.jpg,30.39648389852986,-97.848861117945,90,0
lat_31.39554457064003_lon_-96.84963590004352_hdg_0_pano.jpg,31.39554457064003,-96.84963590004352,0,0
lat_31.39554457064003_lon_-96.84963590004352_hdg_180_pano.jpg,31.39554457064003,-96.84963590004352,180,0
lat_31.39554457064003_lon_-96.84963590004352_hdg_270_pano.jpg,31.39554457064003,-96.84963590004352,270,0
lat_31.39554457064003_lon_-96.84963590004352_hdg_90_pano.jpg,31.39554457064003,-96.84963590004352,90,0
lat_31.39614367533069_lon_-82.848999946466_hdg_0_pano.jpg,31.39614367533069,-82.848999946466,0,0
lat_31.39614367533069_lon_-82.848999946466_hdg_180_pano.jpg,31.39614367533069,-82.848999946466,180,0
lat_31.39614367533069_lon_-82.848999946466_hdg_270_pano.jpg,31.39614367533069,-82.848999946466,270,0
lat_31.39614367533069_lon_-82.848999946466_hdg_90_pano.jpg,31.39614367533069,-82.848999946466,90,0
lat_31.39658563758556_lon_-97.84905030321688_hdg_0_pano.jpg,31.39658563758556,-97.84905030321688,0,0
lat_31.39658563758556_lon_-97.84905030321688_hdg_180_pano.jpg,31.39658563758556,-97.84905030321688,180,0
lat_31.39658563758556_lon_-97.84905030321688_hdg_270_pano.jpg,31.39658563758556,-97.84905030321688,270,0
lat_31.39658563758556_lon_-97.84905030321688_hdg_90_pano.jpg,31.39658563758556,-97.84905030321688,90,0
lat_32.39606551328071_lon_-96.84904913221986_hdg_0_pano.jpg,32.39606551328071,-96.84904913221986,0,0
lat_32.39606551328071_lon_-96.84904913221986_hdg_180_pano.jpg,32.39606551328071,-96.84904913221986,180,0
lat_32.39606551328071_lon_-96.84904913221986_hdg_270_pano.jpg,32.39606551328071,-96.84904913221986,270,0
lat_32.39606551328071_lon_-96.84904913221986_hdg_90_pano.jpg,32.39606551328071,-96.84904913221986,90,0
lat_32.39617328062588_lon_-106.8493242853272_hdg_0_pano.jpg,32.39617328062588,-106.8493242853272,0,0
lat_32.39617328062588_lon_-106.8493242853272_hdg_180_pano.jpg,32.39617328062588,-106.8493242853272,180,0
lat_32.39617328062588_lon_-106.8493242853272_hdg_270_pano.jpg,32.39617328062588,-106.8493242853272,270,0
lat_32.39617328062588_lon_-106.8493242853272_hdg_90_pano.jpg,32.39617328062588,-106.8493242853272,90,0
lat_32.39622699998052_lon_-93.84950423638391_hdg_0_pano.jpg,32.39622699998052,-93.84950423638391,0,0
lat_32.39622699998052_lon_-93.84950423638391_hdg_180_pano.jpg,32.39622699998052,-93.84950423638391,180,0
lat_32.39622699998052_lon_-93.84950423638391_hdg_270_pano.jpg,32.39622699998052,-93.84950423638391,270,0
lat_32.39622699998052_lon_-93.84950423638391_hdg_90_pano.jpg,32.39622699998052,-93.84950423638391,90,0
lat_32.39636010220394_lon_-112.8490085637725_hdg_0_pano.jpg,32.39636010220394,-112.8490085637725,0,0
lat_32.39636010220394_lon_-112.8490085637725_hdg_180_pano.jpg,32.39636010220394,-112.8490085637725,180,0
lat_32.39636010220394_lon_-112.8490085637725_hdg_270_pano.jpg,32.39636010220394,-112.8490085637725,270,0
lat_32.39636010220394_lon_-112.8490085637725_hdg_90_pano.jpg,32.39636010220394,-112.8490085637725,90,0
lat_32.39648751004947_lon_-89.84891023590795_hdg_0_pano.jpg,32.39648751004947,-89.84891023590795,0,0
