lat,lon,heading,filename,status,source
22.4,88.258,90,,ZERO_RESULTS,metadata
22.4,88.258,180,,ZERO_RESULTS,metadata
22.4,88.258,270,,ZERO_RESULTS,metadata
22.4,88.26,0,,ZERO_RESULTS,metadata
22.4,88.26,90,,ZERO_RESULTS,metadata
22.4,88.26,180,,ZERO_RESULTS,metadata
22.4,88.26,270,,ZERO_RESULTS,metadata
22.4,88.262,0,,ZERO_RESULTS,metadata
22.4,88.262,90,,ZERO_RESULTS,metadata
22.4,88.262,180,,ZERO_RESULTS,metadata
22.4,88.262,270,,ZERO_RESULTS,metadata
22.4,88.264,0,,ZERO_RESULTS,metadata
22.4,88.264,90,,ZERO_RESULTS,metadata
22.4,88.264,180,,ZERO_RESULTS,metadata
22.4,88.264,270,,ZERO_RESULTS,metadata
22.4,88.266,0,,ZERO_RESULTS,metadata
22.4,88.266,90,,ZERO_RESULTS,metadata
22.4,88.266,180,,ZERO_RESULTS,metadata
22.4,88.266,270,,ZERO_RESULTS,metadata
22.4,88.268,0,,ZERO_RESULTS,metadata
22.4,88.268,90,,ZERO_RESULTS,metadata
22.4,88.268,180,,ZERO_RESULTS,metadata
22.4,88.268,270,,ZERO_RESULTS,metadata
22.4,88.27,0,,ZERO_RESULTS,metadata
22.4,88.27,90,,ZERO_RESULTS,metadata
22.4,88.27,180,,ZERO_RESULTS,metadata
22.4,88.27,270,,ZERO_RESULTS,metadata
22.4,88.272,0,,ZERO_RESULTS,metadata
22.4,88.272,90,,ZERO_RESULTS,metadata
22.4,88.272,180,,ZERO_RESULTS,metadata
22.4,88.272,270,,ZERO_RESULTS,metadata
22.4,88.274,0,,ZERO_RESULTS,metadata
22.4,88.274,90,,ZERO_RESULTS,metadata
22.4,88.274,180,,ZERO_RESULTS,metadata
22.4,88.274,270,,ZERO_RESULTS,metadata
22.4,88.276,0,,ZERO_RESULTS,metadata
22.4,88.276,90,,ZERO_RESULTS,metadata
22.4,88.276,180,,ZERO_RESULTS,metadata
22.4,88.276,270,,ZERO_RESULTS,metadata
22.40002240679481,88.2781153838218,0,lat_22.40002240679481_lon_88.2781153838218_hdg_0_pano.jpg,OK,pano
22.40002240679481,88.2781153838218,90,lat_22.40002240679481_lon_88.2781153838218_hdg_90_pano.jpg,OK,pano
22.40002240679481,88.2781153838218,180,lat_22.40002240679481_lon_88.2781153838218_hdg_180_pano.jpg,OK,pano
